Index,pH,Iron,Nitrate,Chloride,Lead,Zinc,Color,Turbidity,Fluoride,Copper,Odor,Sulfate,Conductivity,Chlorine,Manganese,Total Dissolved Solids,Source,Water Temperature,Air Temperature,Month,Day,Time of Day,Target
1128309,6.865081052192704,0.0020895291068111,6.665196384126497,154.30466056733232,2.5325232002005332e-08,2.10085382845661,Light Yellow,0.0067229268498196,1.901142399632986,1.2631762834951965,1.040839533932051,166.28591810772676,190.0859083430676,2.7260992573935945,8.760656999663643e-07,84.90795858504285,Ground,9.178279882629502,54.131764021849,October,7.0,0.0,1
4038656,8.218379466653246,0.0182527088327264,7.960070866983953,146.56825481770434,9.387019763963086e-08,1.5667282700400045,Colorless,0.103920618682545,1.3732095056070994,0.189954261576451,0.7211597242510331,74.80353892042191,249.63847125181232,3.912875523869496,0.0331424366392518,403.8446004583301,Reservoir,13.791906510983802,32.42448253289598,September,18.0,8.0,0
1694494,8.222025142933878,0.0207733415752981,7.6618152253597716,233.5604026908601,1.685992937798677e-45,0.3473376057617333,Near Colorless,5.432667402111269e-05,1.536736452051946,0.4784121841308946,0.9641270600379848,148.2459376454182,,2.6476618839906445,2.931158156174877e-07,252.33243834607816,River,13.512791363641124,30.341994795921508,July,26.0,4.0,0
5635998,7.614712860524232,3.893991754478689e-05,4.735282549086836,199.78332811057385,1.2005942971804225e-56,0.3795480757767392,Faint Yellow,0.4452995063037347,0.8161212655733883,0.3216475627478811,1.0335222267861566,,262.9594404751075,2.6675914413773545,0.0016851620473429,209.074767782666,Spring,13.76141857393354,86.20613416061158,June,11.0,,0
1300268,8.469934970077208,4.59910850014234e-06,3.4594185601176712,178.9198050611647,1.3825194363888484e-89,0.2558553371386198,Colorless,1.0166288273440574,0.5146030346345847,0.2260239118712519,0.827002622365171,107.10166868234587,120.77138629612416,2.091190888031427,1.0604750441622786e-14,493.56513514129233,Stream,14.048445473611682,55.646841787377134,February,16.0,18.0,0
5614945,7.562631845436313,0.0078711495485897,4.062703453627177,94.0820074273328,2.782769716965848e-98,1.969487675556208,Colorless,0.0053584359345088,0.0312808966452344,1.0164317128334823,2.7825722823949874,85.79156052580556,1027.262848183571,2.2336181509825,3.9301941060677865e-05,377.23014304999856,Spring,29.37256425772148,71.8671334248446,September,19.0,13.0,0
800689,7.581167727771328,0.0038480357256953,3.503440893266532,162.16771830279117,4.089096693556949e-07,,Near Colorless,0.4415252621979665,0.3824833409199439,0.3220561083423699,1.4425209984389995,168.36061308542307,397.354834563661,2.1947928229627567,0.0028588886876024,138.2660464261116,Aquifer,16.390096701925703,72.41660705962758,September,5.0,10.0,0
2135541,8.375704752770593,0.2374347372608251,6.074630720696011,108.81760355185337,6.457757120690448e-32,0.9827541918984009,Colorless,1.0530699082701462,0.5195144265314275,0.0914081358987306,0.5820122500286012,62.781327616106,654.7347967604762,3.103610500315072,0.0019381676959827,95.46741757466263,Lake,24.76262384748826,58.8265569405968,April,9.0,3.0,0
5724433,7.329554904642626,8.584709511531274e-05,3.443788141919705,117.91100324835956,8.556707070496779e-48,1.6502448770363911,Near Colorless,0.745198323774928,1.5037662937708307,0.3410344318517804,0.4198802054844213,100.47274327538116,737.2662990498584,3.0105286677575887,0.0026708442169821,193.5395556730419,River,6.108945373653254,56.95114036393689,January,22.0,19.0,0
5117849,9.31939780438353,0.0073365704644811,10.646118508903491,180.30476367170132,2.18526970794941e-09,1.424128912876842,Colorless,0.0076187619908143,0.5761122272292332,0.0929394887173998,4.085641483469614,138.34725668733668,217.4657574472409,2.352264662125217,2.258781587666495e-05,369.9261678103447,Spring,8.944444506862693,30.52390701799837,December,17.0,13.0,1
753091,8.534115695503168,1.2837674419861478,5.0235879501793566,301.01873153073643,3.056232845048411e-122,3.620755628334888,Near Colorless,0.4385016584012274,0.0620784254554633,0.1336703375411794,0.6050936481479419,231.9083743065729,160.4966346183054,3.845024258094314,0.2453539245664438,266.0716033343106,Spring,19.465541266405992,63.74074024376462,December,14.0,0.0,1
3327528,7.256724075323163,0.0003619773182641,6.800855644027967,199.8417159921908,2.517703356037036e-93,3.57424649657,Near Colorless,0.3435999249821215,1.3824115039373548,0.5260792327975786,2.4727409122452726,,294.5258620799166,3.4940025164184902,6.399333626343737e-07,38.07255477314084,Lake,23.2189049430274,73.65263654883525,May,5.0,21.0,0
5323443,7.324699907008646,0.0019999571226949,,233.89364831421057,1.7476807633451196e-39,1.1156198274670877,Near Colorless,0.0586485930342424,0.6681298880765337,0.5701442947212695,0.6997619576429221,106.44480422721108,427.5792517840936,3.1001018927670407,0.0002313845784634,143.27050340439578,Lake,10.671720665472872,61.36985322442974,August,27.0,1.0,0
